@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
78,'2023/10/24 14:26:07:165',3,0.428946,258.398438,0.306704,279.931641,0.260642,322.998047,0.140003,236.865234,0.133969,882.861328,0.129057,344.53125,0.122139,215.332031,0.088651,516.796875,0.083913,366.064453,0.078965,968.994141,0.065199,?
79,'2023/10/24 14:26:08:135',3,0.481832,344.53125,0.271775,366.064453,0.265747,387.597656,0.17872,258.398438,0.14752,21.533203,0.143419,322.998047,0.085071,172.265625,0.083485,602.929688,0.077708,409.130859,0.074846,279.931641,0.072509,?
80,'2023/10/24 14:26:08:152',3,0.458197,366.064453,0.332438,344.53125,0.312169,387.597656,0.172951,21.533203,0.13977,258.398438,0.11684,279.931641,0.11094,172.265625,0.084806,452.197266,0.062616,43.066406,0.062143,624.462891,0.061032,?
81,'2023/10/24 14:26:08:299',3,0.488492,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,?
82,'2023/10/24 14:26:08:318',3,0.488492,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,?
83,'2023/10/24 14:26:08:332',3,0.488492,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,0,0.069614,?
84,'2023/10/24 14:26:08:348',3,0.40708,387.597656,0.211136,409.130859,0.157299,366.064453,0.12011,344.53125,0.112739,430.664063,0.085992,258.398438,0.074334,452.197266,0.062333,322.998047,0.046869,64.599609,0.046567,172.265625,0.045785,?
85,'2023/10/24 14:26:08:364',3,0.40708,387.597656,0.211136,409.130859,0.157299,366.064453,0.12011,344.53125,0.112739,430.664063,0.085992,258.398438,0.074334,452.197266,0.062333,322.998047,0.046869,64.599609,0.046567,172.265625,0.045785,?
86,'2023/10/24 14:26:08:818',3,0.449039,882.861328,0.165197,861.328125,0.137949,904.394531,0.11013,344.53125,0.104496,366.064453,0.10287,322.998047,0.099322,968.994141,0.07917,258.398438,0.078966,947.460938,0.074339,409.130859,0.069219,?
87,'2023/10/24 14:26:08:832',3,0.449039,882.861328,0.165197,861.328125,0.137949,904.394531,0.11013,344.53125,0.104496,366.064453,0.10287,322.998047,0.099322,968.994141,0.07917,258.398438,0.078966,947.460938,0.074339,409.130859,0.069219,?
88,'2023/10/24 14:26:08:966',3,0.475965,279.931641,0.11785,301.464844,0.094437,409.130859,0.090986,387.597656,0.0738,430.664063,0.073779,258.398438,0.063448,925.927734,0.05962,904.394531,0.058784,947.460938,0.058297,322.998047,0.054643,?
89,'2023/10/24 14:26:09:966',3,0.474409,258.398438,0.424233,279.931641,0.23682,516.796875,0.146479,387.597656,0.131956,344.53125,0.104433,215.332031,0.104291,495.263672,0.08747,322.998047,0.08602,968.994141,0.083316,366.064453,0.082901,?
90,'2023/10/24 14:26:09:982',3,0.474409,258.398438,0.424233,279.931641,0.23682,516.796875,0.146479,387.597656,0.131956,344.53125,0.104433,215.332031,0.104291,495.263672,0.08747,322.998047,0.08602,968.994141,0.083316,366.064453,0.082901,?
91,'2023/10/24 14:26:10:135',3,0.476985,258.398438,0.261169,279.931641,0.201445,301.464844,0.188235,193.798828,0.119837,215.332031,0.116958,236.865234,0.090016,387.597656,0.073518,516.796875,0.064598,904.394531,0.061182,366.064453,0.060278,?
92,'2023/10/24 14:26:10:149',3,0.40075,279.931641,0.502421,301.464844,0.157558,236.865234,0.085358,366.064453,0.08299,904.394531,0.081254,667.529297,0.079678,882.861328,0.079586,495.263672,0.073006,258.398438,0.07287,344.53125,0.071729,?
93,'2023/10/24 14:26:10:165',3,0.40075,279.931641,0.502421,301.464844,0.157558,236.865234,0.085358,366.064453,0.08299,904.394531,0.081254,667.529297,0.079678,882.861328,0.079586,495.263672,0.073006,258.398438,0.07287,344.53125,0.071729,?
94,'2023/10/24 14:26:11:251',3,0.440589,0,0.10333,0,0.10333,0,0.10333,0,0.10333,0,0.10333,0,0.10333,0,0.10333,0,0.10333,0,0.10333,0,0.10333,?
95,'2023/10/24 14:26:11:882',3,0.402059,236.865234,0.146674,258.398438,0.143751,301.464844,0.122648,322.998047,0.119636,0,0.07927,0,0.07927,0,0.07927,0,0.07927,0,0.07927,0,0.07927,?
96,'2023/10/24 14:26:11:901',3,0.402059,236.865234,0.146674,258.398438,0.143751,301.464844,0.122648,322.998047,0.119636,0,0.07927,0,0.07927,0,0.07927,0,0.07927,0,0.07927,0,0.07927,?
97,'2023/10/24 14:26:11:915',3,0.401231,258.398438,0.319287,279.931641,0.255737,301.464844,0.116661,322.998047,0.111636,236.865234,0.103856,366.064453,0.091306,882.861328,0.078683,516.796875,0.063741,344.53125,0.062099,452.197266,0.059551,?
